"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",31,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",True
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",31,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",31,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",21,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",31,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",False
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",True
